,N fit,Mse,Accuracy %,Mape,Rmse
0,0.0,0.1423,16.8,22.37,0.376
1,1.0,0.4223,4.57,62.03,0.65
2,2.0,0.1007,20.09,21.36,0.317
3,3.0,0.002,20.18,2.81,0.033
4,4.0,0.0027,23.29,2.86,0.034
5,5.0,0.0023,23.56,2.9,0.034
6,6.0,0.0019,20.37,2.77,0.031
7,7.0,0.0041,21.0,4.4,0.055
8,8.0,0.0023,19.73,2.84,0.032
9,9.0,0.0049,2.83,5.98,0.062
10,10.0,0.0019,23.29,2.69,0.031
11,11.0,0.142,16.71,22.42,0.376
12,12.0,0.0017,23.2,2.86,0.034
13,13.0,0.0017,17.08,2.9,0.033
14,14.0,0.0019,21.0,2.73,0.031
15,15.0,0.0023,20.73,2.84,0.033
16,16.0,0.0018,22.01,2.6,0.031
17,17.0,0.1423,16.89,22.38,0.376
18,18.0,0.0017,19.36,2.93,0.034
19,19.0,0.0017,18.45,2.76,0.031
20,20.0,0.0018,24.66,2.48,0.029
21,21.0,0.0017,20.73,3.04,0.033
22,22.0,0.1436,12.15,24.13,0.378
23,23.0,0.0016,23.93,2.71,0.032
24,24.0,0.0017,25.84,2.46,0.029
25,25.0,0.2823,11.32,42.15,0.531
26,26.0,0.1418,22.37,22.28,0.376
27,27.0,0.0019,20.09,2.73,0.031
28,28.0,0.1421,20.0,22.47,0.376
29,29.0,0.0022,24.11,2.65,0.031
30,30.0,0.1429,13.06,22.65,0.376
31,31.0,0.0015,24.02,2.63,0.03
32,32.0,0.0017,15.71,2.85,0.031
33,33.0,0.0018,21.92,2.99,0.033
34,34.0,0.0016,15.34,2.88,0.032
35,35.0,0.0028,20.09,3.03,0.034
36,36.0,0.1421,11.96,22.58,0.376
37,37.0,0.0016,22.01,2.78,0.031
38,38.0,0.0025,23.29,2.69,0.032
39,39.0,0.0015,12.88,3.03,0.032
40,40.0,0.002,20.27,2.6,0.03
41,41.0,0.0017,19.63,2.72,0.031
42,42.0,0.0029,16.89,3.06,0.033
43,43.0,0.0016,18.08,2.94,0.032
44,44.0,0.1419,15.43,22.63,0.376
45,45.0,0.0021,23.93,3.0,0.036
46,46.0,0.0018,16.16,2.87,0.031
47,47.0,0.0015,22.1,2.73,0.031
48,48.0,0.0023,18.54,2.77,0.031
49,49.0,0.0015,23.56,2.63,0.03
